title,description,price,currency,surface_m2,rooms,listing_type,seller_name,seller_type,city,category,url,price_raw,price_range
Terrain à vendre 12 hectares,"Terrain agricole à vendre – environs de Chmaia 12 hectares 🌿
Terrain agricole d'une superficie de 12 hectares, situé dans le douar Ouled Maâchou près de Mheirika, commune Ouled Sidi Chiker, environs de Chmaia.
✔️ Convient pour l'agriculture et la plantation d'oliviers ou pour des projets agricoles
✔",800000,DH,12.0,,Vente,,,Arset Ben Chebli,Terrains Et Fermes,https://www.avito.ma/fr/arset_ben_chebli/terrains_et_fermes/Terrain_à_vendre_12_hectares_57710934.htm,800000,Mid-range
TERRAIN RARE À SAISIR,"Terrain titré de 220 m² au cœur du Vallon (Centre-ville de Kénitra). Quartier calme et sécurisé, entre Val-Fleury et Mosquée Badr... Idéal pour construire votre villa de rêve dans un emplacement premium, proche de tout.

Opportunité exceptionnelle – premier arrivé, premier servi.

Visite avec le pro",1390000,DH,220.0,,Vente,,,Val Fleury,Terrains Et Fermes,https://www.avito.ma/fr/val_fleury/terrains_et_fermes/TERRAIN_RARE_À_SAISIR_57710936.htm,1390000,Premium
Terrain à vendre lotissement Nakhil 2 Bab Andalous Arfane 3,Terrain à vendre enregistré à la conservation foncière avec titre de propriété au nom du propriétaire. Superficie 100 m². Deux façades sur rue 12x12. Garages et 3 étages. Adresse Bab Andalous Arfane 3 route de Rabat lotissement Nakhil 2. Prix 12000 dirhams le mètre.,12000,DH,100.0,,Vente,,,Boukhalef,Terrains Et Fermes,https://www.avito.ma/fr/boukhalef/terrains_et_fermes/Terrain_à_vendre_lotissement_Nakhil_2_Bab_Andalous_Arfane_3_57710943.htm,12000,Budget
Location Local de 500 m2 à Casablanca,"Je propose à la location une spacieuse Villa à usage commercial offrant un emplacement de premier ordre sur le Boulevard Bnou Sina à Casablanca.

Cette villa est idéale pour les entreprises et institutions recherchant une forte visibilité et de grands volumes dans un axe stratégique.

Avec une super",55000,DH,,,Location,,,C.I.L,Local,https://www.avito.ma/fr/c.i.l/local/Location_Local_de_500_m2_à_Casablanca_57103731.htm,55000,Budget
Location Bureau 1 piéces de 247 m2 à Casablanca,"Olivier Chavoin vous propose à la location un beau plateau de bureaux de 247m², stratégiquement situé au cœur du centre ville de Casablanca dans le quartier Gauthier.

Il se compose d'un open space pouvant être aménagé, deux cabinets de toilette, climatisation réversible et une belle terrasse de 67m",50000,DH,247.0,,Location,,,Gauthier,Bureaux,https://www.avito.ma/fr/gauthier/bureaux/Location_Bureau_1_piéces_de_247_m2_à_Casablanca_57608237.htm,50000,Budget
Appartement meublé,Nous mettons en location meublée un bel appartement sur Californie au sein d’une résidence bien entretenue. Entièrement meublé et équipé avec salon spacieux et ensoleillé. Deux chambres spacieuses avec salles de bain. Cuisine entièrement équipée. Proche de toutes les commodités.,7000,DH,,,Location,,,Californie,Appartements,https://www.avito.ma/fr/californie/appartements/Appartement_meublé_57495219.htm,7000,Budget
Location Bureau 1 piéces de 86 m2 à Casablanca,"!!!!EXCLUSIVITE MILKIYA!!!!

Je mets en location un plateau de bureau de 86 m² au 5éme étage situé au roches noires.

Ce bureau lumineux et spacieux offre un cadre idéal pour les entreprises, avec un emplacement stratégique. L’immeuble est sécurisé et dispose d’un ascenseur.

N’attendez plus, contac",9000,DH,86.0,,Location,,,Roches Noires,Bureaux,https://www.avito.ma/fr/roches_noires/bureaux/Location_Bureau_1_piéces_de_86_m2_à_Casablanca_57290865.htm,9000,Budget
Location Bureau de 312 m2 à Casablanca,"Je mets en location un magnifique plateau de bureaux de 312m² réparti sur 2 étages, dans un immeuble de bureaux de haut standing idéalement situé dans une rue calme en plein cœur de l’hypercentre de Casablanca.

L'immeuble se compose de 6 étages regroupant une surface utile de 800m2, 78m2 de terrass",56000,DH,312.0,,Location,,,Gauthier,Bureaux,https://www.avito.ma/fr/gauthier/bureaux/Location_Bureau_de_312_m2_à_Casablanca_56936499.htm,56000,Budget
Appartement meublé à louer Al-Qawasim,"Appartement meublé à louer Al-Qawasim Belbashir , Belbashir",4000,DH,,,Location,,,Moujahidine,Appartements,https://www.avito.ma/fr/moujahidine/appartements/Appartement_meublé_à_louer_Al_Qawasim_57710917.htm,4000,Budget
Appartement à côté de la plage propre,Appartement à côté de la plage propre sans intermédiaire photos réelles Le prix dépend de la durée.,300,DH,,,Vente,,,Martil,Appartements,https://www.avito.ma/fr/martil/appartements/Appartement_à_côté_de_la_plage_propre_56479147.htm,300,Budget
